Abuja:Nigeria
Accra:Ghana
Addis Ababa (Addis Abeba):Ethiopia
Algiers (Alger, El Djazâir, Al Jaza'ir):Algeria
Antananarivo:Madagascar
Asmara (Asmera):Eritrea
Bamako:Mali
Bangui:Central Africa
Banjul:Gambia
Bissau:Guinea-Bissau
Brazzaville:Congo
Bujumbura:Burundi
Cairo (El Qahirah):Egypt
Cape Town (Kaapstad) (legislative) / Bloemfontein (Judicial) / Pretoria (Adm.):South Africa
Conakry:Guinea
Dakar:Senegal
Dar es Salaam:Tanzania
Djibouti (City) (Djiboûtî):Djibouti
Freetown:Sierra Leone
Gaborone:Botswana
Harare (formerly Salisbury):Zimbabwe
Juba:South Sudan
Kampala:Uganda
Khartoum (Al Khartum, Al Khurtum (sd):Sudan
Kigali:Rwanda
Kinshasa:Democratic Republic of the Congo
El Aaiún (Laayoune, Al 'Ayun):Western Sahara
Libreville:Gabon
Lilongwe:Malawi
Mbabane (adm.) / Lobamba (legislative):Swaziland
Lomé:Togo
Luanda:Angola
Lusaka:Zambia
Malabo (formerly Santa Isabel city state):Equatorial Guinea
Maputo:Mozambique
Maseru:Lesotho
Mogadishu (Muqdishu (ar), Muqdisho (so)):Somalia
Monrovia:Liberia
Moroni (Môrônî (Arab):Comoros
Nairobi:Kenya
N'Djamena (Ndjamena):Chad
Niamey:Niger
Nouakchott (Nuwaskshut, Noûâkchot (mr)):Mauritania
Ouagadougou:Burkina Faso
Port Louis:Mauritius
Porto-Novo (constit) / Cotonou (seat of gvnt):Benin
Praia:Cape Verde
Rabat (Ar Ribat, Er Ribât (ma)):Morocco
Tripoli (Tarabulus):Libya
Tunis (Toûnis, Tunus (tn)):Tunisia
Victoria:Seychelles
Windhoek:Namibia
Yamoussoukro:Côte d'Ivoire
Yaoundé:Cameroon
